Word,Frequency,Ignore,Count,Coverage
amish,58,Yes,709442,92.9%
pipe,58,,709500,92.9%
noble,58,,709558,92.9%
smart,58,,709616,92.9%
synthetic,58,,709674,92.9%
instruments,57,,709731,92.9%
restaurants,57,,709788,93.0%
gita,57,Yes,709845,93.0%
irrigation,57,,709902,93.0%
property,57,,709959,93.0%
trinity,57,,710016,93.0%
dyes,57,,710073,93.0%
pulp,57,,710130,93.0%
pearl,57,,710187,93.0%
spinning,57,,710244,93.0%
sur,57,Yes,710301,93.0%
fancy,57,,710358,93.0%
garden,56,,710414,93.0%
seven,56,,710470,93.0%
manna,56,Yes,710526,93.1%
productions,56,,710582,93.1%
columbia,56,,710638,93.1%
aries,56,,710694,93.1%
peacock,56,,710750,93.1%
harijan,56,,710806,93.1%
bai,55,Yes,710861,93.1%
holding,55,,710916,93.1%
parvati,55,Yes,710971,93.1%
age,55,,711026,93.1%
edward,55,Yes,711081,93.1%
seeds,55,,711136,93.1%
consulting,55,,711191,93.1%
portfolio,55,,711246,93.1%
controls,55,,711301,93.2%
leather,55,,711356,93.2%
maria,55,Yes,711411,93.2%
brown,55,,711466,93.2%
info,54,,711520,93.2%
aspire,54,,711574,93.2%
fittings,54,,711628,93.2%
corporate,54,,711682,93.2%
charitable,54,,711736,93.2%
designer,54,,711790,93.2%
ruby,54,Yes,711844,93.2%
moses,54,Yes,711898,93.2%
dhole,54,Yes,711952,93.2%
alloy,54,,712006,93.2%
jawed,54,Yes,712060,93.3%
light,54,,712114,93.3%
helios,54,,712168,93.3%
refinery,53,,712221,93.3%
ply,53,,712274,93.3%
fund,53,,712327,93.3%
lighting,53,,712380,93.3%
resins,53,,712433,93.3%
extrusion,53,,712486,93.3%
contractor,53,,712539,93.3%
radhakrishnan,53,Yes,712592,93.3%
known,53,,712645,93.3%
wilson,53,Yes,712698,93.3%
horizon,53,,712751,93.3%
empire,53,,712804,93.3%
innovations,53,,712857,93.4%
attar,53,Yes,712910,93.4%
mona,52,Yes,712962,93.4%
path,52,,713014,93.4%
mirage,52,,713066,93.4%
tailor,52,,713118,93.4%
saw,52,,713170,93.4%
anu,52,Yes,713222,93.4%
trident,52,,713274,93.4%
tapas,52,Yes,713326,93.4%
man,52,,713378,93.4%
leisure,51,,713429,93.4%
leo,51,Yes,713480,93.4%
shelters,51,,713531,93.4%
colours,51,,713582,93.5%
matrix,51,,713633,93.5%
clinic,51,,713684,93.5%
handloom,51,,713735,93.5%
packers,51,,713786,93.5%
catering,50,,713836,93.5%
loans,50,,713886,93.5%
dresses,50,,713936,93.5%
wide,50,,713986,93.5%
crystal,50,,714036,93.5%
networks,50,,714086,93.5%
import,50,,714136,93.5%
lucky,50,,714186,93.5%
association,50,,714236,93.5%
bearings,50,,714286,93.5%
top,50,,714336,93.5%
mac,50,,714386,93.6%
fruits,50,,714436,93.6%
hospitals,50,,714486,93.6%
valves,49,,714535,93.6%
orient,49,,714584,93.6%
mahatma,49,Yes,714633,93.6%
poultry,49,,714682,93.6%
naval,49,,714731,93.6%
diwan,49,Yes,714780,93.6%
advisory,49,,714829,93.6%
tare,49,Yes,714878,93.6%
kashmir,49,,714927,93.6%
plaza,49,,714976,93.6%
good,49,,715025,93.6%
pure,49,,715074,93.6%
jaffar,49,Yes,715123,93.7%
advisors,48,,715171,93.7%
jan,48,,715219,93.7%
baby,48,Yes,715267,93.7%
times,48,,715315,93.7%
paramount,48,,715363,93.7%
spark,48,,715411,93.7%
pen,48,,715459,93.7%
roma,48,Yes,715507,93.7%
elite,48,,715555,93.7%
sign,48,,715603,93.7%
dass,48,,715651,93.7%
refrigeration,48,,715699,93.7%
hate,48,,715747,93.7%
spares,47,,715794,93.7%
kraft,47,,715841,93.7%
natural,47,,715888,93.8%
jupiter,47,,715935,93.8%
